1,2,9
1,3,8
1,4,6
1,5,6
1,6,6
1,7,6
1,8,6
1,9,7
1,10,6
1,11,3
1,12,6
1,13,5
1,14,3
1,15,6
2,3,2
2,4,6
2,5,8
2,6,7
2,7,1
2,8,5
2,9,8
2,10,3
2,11,9
2,12,6
2,13,1
2,14,4
2,15,5
3,4,7
3,5,3
3,6,6
3,7,9
3,8,1
3,9,6
3,10,3
3,11,4
3,12,4
3,13,6
3,14,3
3,15,2
4,5,8
4,6,1
4,7,1
4,8,6
4,9,5
4,10,2
4,11,2
4,12,9
4,13,4
4,14,9
4,15,7
5,6,7
5,7,5
5,8,2
5,9,4
5,10,8
5,11,7
5,12,2
5,13,6
5,14,1
5,15,2
6,7,6
6,8,6
6,9,5
6,10,1
6,11,6
6,12,5
6,13,6
6,14,6
6,15,4
7,8,4
7,9,3
7,10,6
7,11,8
7,12,8
7,13,9
7,14,9
7,15,3
8,9,9
8,10,1
8,11,3
8,12,8
8,13,3
8,14,1
8,15,7
9,10,9
9,11,1
9,12,3
9,13,6
9,14,5
9,15,7
10,11,3
10,12,2
10,13,3
10,14,3
10,15,6
11,12,1
11,13,2
11,14,5
11,15,5
12,13,7
12,14,7
12,15,7
13,14,7
13,15,2
14,15,9
