1,2,5
1,3,8
1,4,4
1,5,8
1,6,9
1,7,7
1,8,8
1,9,9
1,10,1
1,11,7
1,12,7
1,13,9
1,14,1
1,15,5
2,3,3
2,4,8
2,5,5
2,6,3
2,7,5
2,8,6
2,9,1
2,10,8
2,11,6
2,12,3
2,13,1
2,14,8
2,15,6
3,4,6
3,5,8
3,6,9
3,7,2
3,8,7
3,9,4
3,10,8
3,11,2
3,12,5
3,13,1
3,14,3
3,15,2
4,5,8
4,6,5
4,7,9
4,8,8
4,9,7
4,10,5
4,11,2
4,12,9
4,13,9
4,14,6
4,15,8
5,6,9
5,7,9
5,8,2
5,9,9
5,10,2
5,11,8
5,12,1
5,13,6
5,14,6
5,15,7
6,7,5
6,8,5
6,9,2
6,10,1
6,11,7
6,12,9
6,13,7
6,14,3
6,15,6
7,8,1
7,9,2
7,10,6
7,11,4
7,12,4
7,13,8
7,14,8
7,15,6
8,9,2
8,10,5
8,11,3
8,12,5
8,13,9
8,14,3
8,15,9
9,10,2
9,11,9
9,12,7
9,13,6
9,14,1
9,15,6
10,11,9
10,12,2
10,13,8
10,14,7
10,15,2
11,12,9
11,13,5
11,14,8
11,15,5
12,13,8
12,14,3
12,15,3
13,14,3
13,15,9
14,15,4
