1,2,8
1,3,2
1,4,2
1,5,7
1,6,5
1,7,3
1,8,2
1,9,4
1,10,7
1,11,9
1,12,1
1,13,4
1,14,7
1,15,1
2,3,7
2,4,5
2,5,2
2,6,5
2,7,4
2,8,7
2,9,4
2,10,3
2,11,3
2,12,4
2,13,8
2,14,3
2,15,4
3,4,4
3,5,8
3,6,7
3,7,9
3,8,9
3,9,3
3,10,9
3,11,5
3,12,1
3,13,5
3,14,3
3,15,1
4,5,4
4,6,9
4,7,4
4,8,5
4,9,8
4,10,2
4,11,4
4,12,1
4,13,3
4,14,4
4,15,9
5,6,2
5,7,5
5,8,2
5,9,6
5,10,9
5,11,1
5,12,9
5,13,6
5,14,5
5,15,4
6,7,9
6,8,2
6,9,9
6,10,8
6,11,5
6,12,5
6,13,9
6,14,4
6,15,4
7,8,1
7,9,3
7,10,6
7,11,1
7,12,4
7,13,2
7,14,7
7,15,8
8,9,8
8,10,7
8,11,4
8,12,2
8,13,6
8,14,4
8,15,1
9,10,9
9,11,8
9,12,5
9,13,9
9,14,7
9,15,1
10,11,5
10,12,5
10,13,5
10,14,9
10,15,2
11,12,9
11,13,5
11,14,3
11,15,8
12,13,4
12,14,1
12,15,5
13,14,6
13,15,2
14,15,9
